Year,FED Id,FED Name,Winning Pid,Population,Total Ballots,Valid Ballots,LIB,CPC,NDP,BQ,GRN,OTH
2004,13006,Miramichi,LIB,63001,33384,32543,15647,9448,5980,0,1468,0
2004,13007,Moncton--Riverview--Dieppe,LIB,83191,42947,42611,25266,10003,5344,0,1998,0
2004,13008,St. Croix--Belleisle,CPC,63529,31011,30795,9702,16339,3600,0,960,194
2004,13009,Saint John,LIB,83463,36553,36329,15725,12212,6926,0,807,659
2004,13010,Tobique--Mactaquac,LIB,70105,35154,34805,16787,13779,2957,0,1282,0
2004,24001,Abitibi--Témiscamingue,BQ ,104620,44415,43432,13457,2425,1472,25041,1037,0
2004,24002,Ahuntsic,LIB,99848,49224,48528,21234,2544,3013,20020,1301,416
2004,24003,Alfred-Pellan,BQ ,99841,54460,53332,21116,2703,1849,26239,1132,293
2004,24004,Argenteuil--Mirabel,BQ ,98467,50295,49176,13214,3460,1493,28228,2510,271
2004,24005,Beauce,LIB,102072,48431,47348,19592,8091,1443,17168,1054,0
2004,24006,Beauharnois--Salaberry,BQ ,103808,54049,52845,18293,4864,1018,26775,1415,480
2004,24007,Beauport,BQ ,98990,47430,46301,11866,7388,1896,22989,1577,585
2004,24008,Berthier--Maskinongé,BQ ,103516,50588,49132,11198,5535,1653,29432,1314,0
2004,24009,Bourassa,LIB,99862,42835,41825,20927,2226,1661,15794,660,557
2004,24010,Brome--Missisquoi,LIB,88128,45012,44222,18609,4888,1177,17537,2011,0
2004,24011,Brossard--La Prairie,LIB,100489,53314,52628,24155,3107,2321,21596,1340,109
2004,24012,Chambly--Borduas,BQ ,104995,56973,55787,12694,4219,2681,33945,2248,0
2004,24013,Charlesbourg,BQ ,90162,47251,46290,11911,7306,1623,23886,1188,376
2004,24014,Charlevoix--Montmorency,BQ ,89257,42731,41785,8598,5259,1055,25451,1422,0
2004,24015,Châteauguay--Saint-Constant,BQ ,102709,52412,51216,15384,2902,1704,29337,1889,0
2004,24016,Chicoutimi--Le Fjord,BQ ,98739,46469,45559,19787,2385,1699,20650,1038,0
2004,24017,Compton--Stanstead,BQ ,94167,44585,43788,15752,4589,1451,20450,1546,0
2004,24018,Drummond,BQ ,87808,43241,42050,9591,7123,745,23670,921,0
2004,24019,Gaspésie--Îles-de-la-Madeleine,BQ ,84202,39085,38526,12579,2636,805,21446,1060,0
2004,24020,Gatineau,LIB,102898,46219,45617,19198,3461,2610,18368,1402,578
2004,24021,Hochelaga,BQ ,100934,46635,45699,11712,1856,2510,27476,1361,784
2004,24022,Honoré-Mercier,LIB,100981,49055,48201,22223,2902,1973,19461,852,790
2004,24023,Hull--Aylmer,LIB,102331,48560,48092,20135,3963,5709,15626,2561,98
2004,24024,Jeanne-Le Ber,LIB,103092,46512,45676,18766,2524,3160,18694,1864,668
2004,24025,Joliette,BQ ,97344,49779,48346,10975,3107,1755,30661,1147,701
2004,24026,Jonquière--Alma,BQ ,98167,46682,45863,13355,2217,1561,25193,679,2858
2004,24027,Lac-Saint-Louis,LIB,101919,50554,50261,32122,6082,3789,5106,2584,578
2004,24028,La Pointe-de-l'Île,BQ ,98878,47279,46204,10593,1961,1751,30713,1186,0
2004,24029,LaSalle--Émard,LIB,99767,46342,45632,25806,2271,1995,14001,1000,559
2004,24030,Laurentides--Labelle,BQ ,96133,50008,49122,14459,2887,1320,28675,1781,0
2004,24031,Laurier,BQ ,100488,48523,47823,8454,1224,5779,28728,2912,726
2004,24032,Laval,BQ ,98831,49951,48760,17639,3115,1998,24425,1091,492
2004,24033,Laval--Les Îles,LIB,100137,51027,50112,23985,3498,2202,18597,1178,652
2004,24034,Lévis--Bellechasse,BQ ,102310,50588,49464,13664,9425,1910,21930,2372,163
2004,24035,Longueuil,BQ ,96403,49176,48366,12363,2354,2512,29473,1263,401
2004,24036,Lotbinière--Chutes-de-la-Chaudière,BQ ,94834,45100,44024,9445,10628,2091,20245,1615,0
2004,24037,Louis-Hébert,BQ ,98156,56654,55831,18999,7512,3112,24071,2137,0
2004,24038,Louis-Saint-Laurent,BQ ,94294,45851,44866,10025,13967,1369,17248,1243,1014
2004,24039,Manicouagan,BQ ,84872,33132,32543,8097,1601,3361,19040,444,0
2004,24040,Marc-Aurèle-Fortin,BQ ,99044,53377,52274,14491,3125,1867,30779,2012,0
2004,24041,Matapédia--Matane,BQ ,74475,32205,31669,9653,1972,1581,17878,585,0
2004,24042,Mégantic--L'Érable,BQ ,87205,43923,43055,15778,4916,1608,19264,1489,0
